city,count,geo
Москва,126,"[55.755864, 37.617698]"
Вологда,3,"[59.220501, 39.891523]"
Ереван,2,"[40.177642, 44.512519]"
Донецк,2,"[48.015884, 37.802850]"
Тбилиси,1,"[41.693083, 44.801561]"
Казань,1,"[55.796127, 49.106414]"
Тольятти,1,"[53.507852, 49.420411]"
Пермь,1,"[58.010455, 56.229443]"
Калуга,1,"[54.513678, 36.261341]"
Тверь,1,"[56.858745, 35.917421]"
Toronto,1,"[43.665208, -79.392710]"
Екатеринбург,1,"[56.837435, 60.597636]"
Ульяновск,1,"[54.314192, 48.403132]"
Уральск,1,"[51.204030, 51.370528]"
Минск,1,"[53.902735, 27.555696]"
Петровск,1,"[52.314028, 45.389940]"
Домодедово,1,"[55.437174, 37.768004]"
Atlanta,1,"[33.748699, -84.392490]"
